cow_number;datetime;code_1_5;code_6_or_12;code_15;other_1;other_2
2;2019-04-16 12:51:39;4;12;0;0;0
2;2019-04-16 12:51:40;2;12;0;0;0
2;2019-04-16 12:51:41;2;12;0;0;0
2;2019-04-16 12:51:42;2;12;0;0;0
2;2019-04-16 12:51:43;2;12;0;0;0
2;2019-04-16 12:51:44;2;12;0;0;0
2;2019-04-16 12:51:45;2;12;0;0;0
2;2019-04-16 12:51:46;2;12;0;0;0
2;2019-04-16 12:51:47;2;12;0;0;0
2;2019-04-16 12:51:48;2;12;0;0;0
2;2019-04-16 12:51:49;2;12;0;0;0
2;2019-04-16 12:51:50;2;12;0;0;0
2;2019-04-16 12:51:51;2;12;0;0;0
2;2019-04-16 12:51:52;2;12;0;0;0
2;2019-04-16 12:51:53;2;12;0;0;0
2;2019-04-16 12:51:54;2;12;0;0;0
2;2019-04-16 12:51:55;2;12;0;0;0
